Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	Ensembl ID
NM_028713	RefSeq	MGI:1921263	Rftn2	raftlin family member 2	protein coding gene	ENSMUSG00000025978
NM_025705	RefSeq	MGI:1913936	Dcbld1	discoidin, CUB  and LCCL domain containing 1	protein coding gene	ENSMUSG00000019891
NM_026135	RefSeq	MGI:1914659	Kctd16	potassium channel tetramerisation domain containing 16	protein coding gene	ENSMUSG00000051401
NM_026135	RefSeq	MGI:1914659	Kctd16	potassium channel tetramerisation domain containing 16	protein coding gene	ENSMUSG00000118202
NM_001271728	RefSeq	MGI:1933163	Trim2	tripartite motif-containing 2	protein coding gene	ENSMUSG00000027993
NR_035442	RefSeq	MGI:3811419	Mir1904	microRNA 1904	miRNA gene	ENSMUSG00000084651
NR_045495	RefSeq	MGI:1916853	2310020H05Rik	RIKEN cDNA 2310020H05 gene	lncRNA gene	ENSMUSG00000100410
NM_001168526	RefSeq	MGI:2444110	Sgms1	sphingomyelin synthase 1	protein coding gene	ENSMUSG00000040451
NM_009138	RefSeq	MGI:1099448	Ccl25	C-C motif chemokine ligand 25	protein coding gene	ENSMUSG00000023235
NM_001081417		No associated gene				
NM_008857	RefSeq	MGI:99260	Prkci	protein kinase C, iota	protein coding gene	ENSMUSG00000037643
NM_183029	RefSeq	MGI:1890358	Igf2bp2	insulin-like growth factor 2 mRNA binding protein 2	protein coding gene	ENSMUSG00000033581
NM_013512	RefSeq	MGI:103007	Epb41l4a	erythrocyte membrane protein band 4.1 like 4a	protein coding gene	ENSMUSG00000024376
NM_001177776	RefSeq	MGI:87971	Ahi1	Abelson helper integration site 1	protein coding gene	ENSMUSG00000019986
NR_045065	RefSeq	MGI:1922509	4930556M19Rik	RIKEN cDNA 4930556M19 gene	lncRNA gene	ENSMUSG00000096971
NM_009769	RefSeq	MGI:1338056	Klf5	Kruppel-like transcription factor 5	protein coding gene	ENSMUSG00000005148
NM_172650	RefSeq	MGI:2444629	Kctd3	potassium channel tetramerisation domain containing 3	protein coding gene	ENSMUSG00000026608
NM_183154	RefSeq	MGI:3026685	Zfyve1	zinc finger, FYVE domain containing 1	protein coding gene	ENSMUSG00000042628
NM_001195498	RefSeq	MGI:1918012	Dclk2	doublecortin-like kinase 2	protein coding gene	ENSMUSG00000028078
NM_027897	RefSeq	MGI:1289234	Rhpn2	rhophilin, Rho GTPase binding protein 2	protein coding gene	ENSMUSG00000030494
NM_009843	RefSeq	MGI:88556	Ctla4	cytotoxic T-lymphocyte-associated protein 4	protein coding gene	ENSMUSG00000026011
NM_011600	RefSeq	MGI:104633	Tle4	transducin-like enhancer of split 4	protein coding gene	ENSMUSG00000024642
NM_011908	RefSeq	MGI:1344373	Ubl3	ubiquitin-like 3	protein coding gene	ENSMUSG00000001687
NM_001033298	RefSeq	MGI:2684960	Kiz	kizuna centrosomal protein	protein coding gene	ENSMUSG00000074749
NM_001081286	RefSeq	MGI:109168	Fat1	FAT atypical cadherin 1	protein coding gene	ENSMUSG00000070047
NM_024279	RefSeq	MGI:1925884	Spaca7	sperm acrosome associated 7	protein coding gene	ENSMUSG00000010435
NM_012055	RefSeq	MGI:1350929	Asns	asparagine synthetase	protein coding gene	ENSMUSG00000029752
NM_133919	RefSeq	MGI:1100819	Aff1	AF4/FMR2 family, member 1	protein coding gene	ENSMUSG00000029313
NM_009009	RefSeq	MGI:108016	Rad21	RAD21 cohesin complex component	protein coding gene	ENSMUSG00000022314
NM_011663		No associated gene				
NM_001204233	RefSeq	MGI:98389	Spp1	secreted phosphoprotein 1	protein coding gene	ENSMUSG00000029304
NM_001040400	RefSeq	MGI:2443298	Tet2	tet methylcytosine dioxygenase 2	protein coding gene	ENSMUSG00000040943
NM_011682	RefSeq	MGI:104631	Utrn	utrophin	protein coding gene	ENSMUSG00000019820
NM_008709	RefSeq	MGI:97357	Mycn	v-myc avian myelocytomatosis viral related oncogene, neuroblastoma derived	protein coding gene	ENSMUSG00000037169
NM_009814	RefSeq	MGI:1309469	Casq2	calsequestrin 2	protein coding gene	ENSMUSG00000027861
NM_020005	RefSeq	MGI:1343094	Kat2b	K(lysine) acetyltransferase 2B	protein coding gene	ENSMUSG00000000708
NM_177392	RefSeq	MGI:2443691	Tmem220	transmembrane protein 220	protein coding gene	ENSMUSG00000050270
NM_028576	RefSeq	MGI:1920832	Camkmt	calmodulin-lysine N-methyltransferase	protein coding gene	ENSMUSG00000071037
NM_009786	RefSeq	MGI:1270839	Cacybp	calcyclin binding protein	protein coding gene	ENSMUSG00000014226
NM_028904	RefSeq	MGI:1921636	Rmi1	RecQ mediated genome instability 1	protein coding gene	ENSMUSG00000035367
NM_001083121	RefSeq	MGI:108360	Enah	ENAH actin regulator	protein coding gene	ENSMUSG00000022995
NM_025274	RefSeq	MGI:101800	Dppa5a	developmental pluripotency associated 5A	protein coding gene	ENSMUSG00000060461
NM_001178049	RefSeq	MGI:104554	Mitf	melanogenesis associated transcription factor	protein coding gene	ENSMUSG00000035158
NM_031249	RefSeq	MGI:1932622	Cstf2t	cleavage stimulation factor, 3' pre-RNA subunit 2, tau	protein coding gene	ENSMUSG00000053536
NR_045318	RefSeq	MGI:1924844	4930552P12Rik	RIKEN cDNA 4930552P12 gene	lncRNA gene	
NM_021390	RefSeq	MGI:1889585	Sall1	spalt like transcription factor 1	protein coding gene	ENSMUSG00000031665
NM_174857	RefSeq	MGI:1918988	Mamdc2	MAM domain containing 2	protein coding gene	ENSMUSG00000033207
NM_001252585	RefSeq	MGI:1918025	Zmynd8	zinc finger, MYND-type containing 8	protein coding gene	ENSMUSG00000039671
NM_022327	RefSeq	MGI:1927244	Ralb	v-ral simian leukemia viral oncogene B	protein coding gene	ENSMUSG00000004451
NM_028049	RefSeq	MGI:1926014	Fbxo22	F-box protein 22	protein coding gene	ENSMUSG00000032309
