Input	Input Type	MGI Gene/Marker ID	Ensembl ID
0610007P14Rik	old symbol	MGI:1915571	ENSMUSG00000021252
0610009B22Rik	old symbol	MGI:1913300	ENSMUSG00000007777
0610012G03Rik	old symbol	MGI:1913301	ENSMUSG00000107002
0610031J06Rik	old symbol	MGI:1913318	ENSMUSG00000001418
1110004E09Rik	old symbol	MGI:1915251	ENSMUSG00000022972
1110007C09Rik	old symbol	MGI:1915730	ENSMUSG00000037960
1110008L16Rik	old symbol	MGI:1913382	ENSMUSG00000021023
1110032A03Rik	old symbol	MGI:1915971	ENSMUSG00000037971
1110037F02Rik	old symbol	MGI:1913435	ENSMUSG00000040720
1110038B12Rik	current symbol	MGI:1916013	ENSMUSG00000092203
1110038F14Rik	current symbol	MGI:2152337	ENSMUSG00000063236
1110051M20Rik	old symbol	MGI:1915079	ENSMUSG00000040591
1110057K04Rik	old symbol	MGI:1916082	ENSMUSG00000037669
1110058L19Rik	old symbol	MGI:1915252	ENSMUSG00000026154
1110059E24Rik	current symbol	MGI:1913456	ENSMUSG00000035171
1190007I07Rik	old symbol	MGI:3698433	ENSMUSG00000063320
1300002E11Rik	current symbol	MGI:1919001	ENSMUSG00000097290
1300002K09Rik	old symbol	MGI:1921402	ENSMUSG00000028327
1500009L16Rik	current symbol	MGI:1917034	ENSMUSG00000087651
1500011B03Rik	current symbol	MGI:1913486	
1500012F01Rik	old symbol	MGI:1916199	ENSMUSG00000074578
1500015A07Rik	current symbol	MGI:1916232	ENSMUSG00000098702
1600012H06Rik	current symbol	MGI:1915162	ENSMUSG00000050088
1700001L05Rik	current symbol	MGI:1916541	ENSMUSG00000075511
1700010I14Rik	current symbol	MGI:1914181	ENSMUSG00000023873
1700017B05Rik	current symbol	MGI:1921461	ENSMUSG00000032300
1700020I14Rik	old symbol	MGI:1913852	ENSMUSG00000085438
1700021F05Rik	old symbol	MGI:1915101	ENSMUSG00000019797
1700025G04Rik	current symbol	MGI:1916649	ENSMUSG00000032666
1700030J22Rik	current symbol	MGI:1916778	ENSMUSG00000031847
1700030K09Rik	current symbol	MGI:1919504	ENSMUSG00000052794
1700037H04Rik	old symbol	MGI:1914576	ENSMUSG00000027327
1700052N19Rik	old symbol	MGI:1920669	ENSMUSG00000061759
1700123O20Rik	current symbol	MGI:1920893	ENSMUSG00000040822
1810009A15Rik	current symbol	MGI:1913526	ENSMUSG00000071653
1810013L24Rik	old symbol	MGI:1916303	ENSMUSG00000022507
1810014B01Rik	current symbol	MGI:1913513	ENSMUSG00000097412
1810032O08Rik	old symbol	MGI:1913543	ENSMUSG00000020812
1810037I17Rik	current symbol	MGI:1914954	ENSMUSG00000054091
1810043H04Rik	old symbol	MGI:1913676	ENSMUSG00000078572
1810058I24Rik	old symbol	MGI:1914955	ENSMUSG00000073155
2010107E04Rik	old symbol	MGI:1917507	ENSMUSG00000021290
2010107G23Rik	old symbol	MGI:1917144	ENSMUSG00000020083
2200002D01Rik	current symbol	MGI:1919525	ENSMUSG00000030587
2210016F16Rik	old symbol	MGI:1917403	ENSMUSG00000021550
