Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	Ensembl ID
NM_175439	RefSeq	MGI:2444136	Mars2	methionine-tRNA synthetase 2 (mitochondrial)	protein coding gene	ENSMUSG00000046994
NR_036654	RefSeq	MGI:3648757	Gm6525	predicted pseudogene 6525	protein coding gene	ENSMUSG00000104043
NM_029797	RefSeq	MGI:1924165	Mnd1	meiotic nuclear divisions 1	protein coding gene	ENSMUSG00000033752
NR_045495	RefSeq	MGI:1916853	2310020H05Rik	RIKEN cDNA 2310020H05 gene	lncRNA gene	ENSMUSG00000100410
NM_001168526	RefSeq	MGI:2444110	Sgms1	sphingomyelin synthase 1	protein coding gene	ENSMUSG00000040451
NM_010485	RefSeq	MGI:1100851	Elavl1	ELAV like RNA binding protein 1	protein coding gene	ENSMUSG00000040028
NM_001165955	RefSeq	MGI:2181434	Phc3	polyhomeotic 3	protein coding gene	ENSMUSG00000037652
NM_013512	RefSeq	MGI:103007	Epb41l4a	erythrocyte membrane protein band 4.1 like 4a	protein coding gene	ENSMUSG00000024376
NM_001177776	RefSeq	MGI:87971	Ahi1	Abelson helper integration site 1	protein coding gene	ENSMUSG00000019986
NM_009769	RefSeq	MGI:1338056	Klf5	Kruppel-like transcription factor 5	protein coding gene	ENSMUSG00000005148
NM_030246	RefSeq	MGI:1921078	Dcaf4	DDB1 and CUL4 associated factor 4	protein coding gene	ENSMUSG00000021222
NM_001165256	RefSeq	MGI:1921078	Dcaf4	DDB1 and CUL4 associated factor 4	protein coding gene	ENSMUSG00000021222
NM_026181	RefSeq	MGI:1914721	Gpatch1	G patch domain containing 1	protein coding gene	ENSMUSG00000063808
NM_001033298	RefSeq	MGI:2684960	Kiz	kizuna centrosomal protein	protein coding gene	ENSMUSG00000074749
NM_024279	RefSeq	MGI:1925884	Spaca7	sperm acrosome associated 7	protein coding gene	ENSMUSG00000010435
NM_012055	RefSeq	MGI:1350929	Asns	asparagine synthetase	protein coding gene	ENSMUSG00000029752
NM_133919	RefSeq	MGI:1100819	Aff1	AF4/FMR2 family, member 1	protein coding gene	ENSMUSG00000029313
NM_001080798	RefSeq	MGI:1100819	Aff1	AF4/FMR2 family, member 1	protein coding gene	ENSMUSG00000029313
NM_175503	RefSeq	MGI:2181621	Aard	alanine and arginine rich domain containing protein	protein coding gene	ENSMUSG00000068522
NM_009009	RefSeq	MGI:108016	Rad21	RAD21 cohesin complex component	protein coding gene	ENSMUSG00000022314
NM_011663		No associated gene				
NM_009837	RefSeq	MGI:104689	Cct4	chaperonin containing TCP1 subunit 4	protein coding gene	ENSMUSG00000007739
NM_008861	RefSeq	MGI:1099818	Pkd2	polycystin 2, transient receptor potential cation channel	protein coding gene	ENSMUSG00000034462
NM_178777	RefSeq	MGI:97324	Nhlh2	nescient helix loop helix 2	protein coding gene	ENSMUSG00000048540
NM_009814	RefSeq	MGI:1309469	Casq2	calsequestrin 2	protein coding gene	ENSMUSG00000027861
NM_020005	RefSeq	MGI:1343094	Kat2b	K(lysine) acetyltransferase 2B	protein coding gene	ENSMUSG00000000708
NM_001190846	RefSeq	MGI:1343094	Kat2b	K(lysine) acetyltransferase 2B	protein coding gene	ENSMUSG00000000708
NM_173449	RefSeq	MGI:3612067	Pp2d1	protein phosphatase 2C-like domain containing 1	protein coding gene	ENSMUSG00000044957
NM_177392	RefSeq	MGI:2443691	Tmem220	transmembrane protein 220	protein coding gene	ENSMUSG00000050270
NM_001040026	RefSeq	MGI:106362	Sco1	SCO1 cytochrome c oxidase assembly protein	protein coding gene	ENSMUSG00000069844
NM_025510	RefSeq	MGI:1913608	Adprm	ADP-ribose/CDP-alcohol diphosphatase, manganese dependent	protein coding gene	ENSMUSG00000020910
NM_025474	RefSeq	MGI:1928141	Mrps14	mitochondrial ribosomal protein S14	protein coding gene	ENSMUSG00000058267
NM_205822	RefSeq	MGI:106619	Omt2b	oocyte maturation, beta	protein coding gene	ENSMUSG00000038750
NM_001191044	RefSeq	MGI:3642857	Ddx43	DEAD box helicase 43	protein coding gene	ENSMUSG00000070291
NM_001111286	RefSeq	MGI:106620	Omt2a	oocyte maturation, alpha	protein coding gene	ENSMUSG00000066463
NM_001164523	RefSeq	MGI:106620	Omt2a	oocyte maturation, alpha	protein coding gene	ENSMUSG00000066463
NM_008182	RefSeq	MGI:95863	Gsta2	glutathione S-transferase, alpha 2 (Yc2)	protein coding gene	ENSMUSG00000057933
NM_026480	RefSeq	MGI:1915218	Ooep	oocyte expressed protein	protein coding gene	ENSMUSG00000032346
NM_008601	RefSeq	MGI:104554	Mitf	melanogenesis associated transcription factor	protein coding gene	ENSMUSG00000035158
NM_031249	RefSeq	MGI:1932622	Cstf2t	cleavage stimulation factor, 3' pre-RNA subunit 2, tau	protein coding gene	ENSMUSG00000053536
NM_021390	RefSeq	MGI:1889585	Sall1	spalt like transcription factor 1	protein coding gene	ENSMUSG00000031665
NM_174857	RefSeq	MGI:1918988	Mamdc2	MAM domain containing 2	protein coding gene	ENSMUSG00000033207
NM_146103	RefSeq	MGI:1917634	Tmem185b	transmembrane protein 185B	protein coding gene	ENSMUSG00000098923
NM_007731	RefSeq	MGI:1277201	Col13a1	collagen, type XIII, alpha 1	protein coding gene	ENSMUSG00000058806
NR_015532	RefSeq	MGI:1915495	1700108J01Rik	RIKEN cDNA 1700108J01 gene	lncRNA gene	ENSMUSG00000100585
NM_172509	RefSeq	MGI:2442265	Kctd7	potassium channel tetramerisation domain containing 7	protein coding gene	ENSMUSG00000034110
NM_001081394	RefSeq	MGI:1918917	Tmem248	transmembrane protein 248	protein coding gene	ENSMUSG00000053094
NM_027854	RefSeq	MGI:1918917	Tmem248	transmembrane protein 248	protein coding gene	ENSMUSG00000053094
NR_035433	RefSeq	MGI:3811407	Mir1897	microRNA 1897	miRNA gene	ENSMUSG00000104797
NM_010810	RefSeq	MGI:103189	Mmp7	matrix metallopeptidase 7	protein coding gene	ENSMUSG00000018623
NM_133739	RefSeq	MGI:1919179	Tmem123	transmembrane protein 123	protein coding gene	ENSMUSG00000050912
NM_178743	RefSeq	MGI:2444589	Slc26a11	solute carrier family 26, member 11	protein coding gene	ENSMUSG00000039908
NR_035453	RefSeq	MGI:3836969	Mir1932	microRNA 1932	miRNA gene	ENSMUSG00000088015
NM_018822	RefSeq	MGI:1350341	Sgsh	N-sulfoglucosamine sulfohydrolase (sulfamidase)	protein coding gene	ENSMUSG00000005043
NM_001114174	RefSeq	MGI:2685813	Entrep1	endosomal transmembrane epsin interactor 1	protein coding gene	ENSMUSG00000071604
NM_178923	RefSeq	MGI:2146350	Scaf4	SR-related CTD-associated factor 4	protein coding gene	ENSMUSG00000022983
NM_001111075	RefSeq	MGI:99701	Cdc25b	cell division cycle 25B	protein coding gene	ENSMUSG00000027330
NM_027129	RefSeq	MGI:1916846	Ap5s1	adaptor-related protein 5 complex, sigma 1 subunit	protein coding gene	ENSMUSG00000068264
NM_153501	RefSeq	MGI:1921700	Pank2	pantothenate kinase 2	protein coding gene	ENSMUSG00000037514
NR_029755	RefSeq	MGI:3619059	Mir103-2	microRNA 103-2	miRNA gene	ENSMUSG00000065563
NM_026960	RefSeq	MGI:1916396	Gsdmd	gasdermin D	protein coding gene	ENSMUSG00000022575
NM_178646	RefSeq	MGI:2145902	Tigd5	tigger transposable element derived 5	protein coding gene	ENSMUSG00000103906
NM_172121	RefSeq	MGI:2663721	Zc3h3	zinc finger CCCH type containing 3	protein coding gene	ENSMUSG00000075600
NM_172607	RefSeq	MGI:2442664	Naprt	nicotinate phosphoribosyltransferase	protein coding gene	ENSMUSG00000022574
