Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	Ensembl ID
Fhl2	current symbol	MGI:1338762	Fhl2	four and a half LIM domains 2	protein coding gene	ENSMUSG00000008136
Hspe1	current symbol	MGI:104680	Hspe1	heat shock protein 1 (chaperonin 10)	protein coding gene	ENSMUSG00000073676
Hspe1	human symbol	MGI:1935159	Hspe1-rs1	heat shock protein 1 (chaperonin 10), related sequence 1	protein coding gene	ENSMUSG00000117621
Nif3l1	current symbol	MGI:1929485	Nif3l1	Ngg1 interacting factor 3-like 1 (S. pombe)	protein coding gene	ENSMUSG00000026036
Cflar	current symbol	MGI:1336166	Cflar	CASP8 and FADD-like apoptosis regulator	protein coding gene	ENSMUSG00000026031
Smarcal1	current symbol	MGI:1859183	Smarcal1	SWI/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1	protein coding gene	ENSMUSG00000039354
Pnkd	current symbol	MGI:1930773	Pnkd	paroxysmal nonkinesiogenic dyskinesia	protein coding gene	ENSMUSG00000026179
Tmbim1	current symbol	MGI:1916910	Tmbim1	transmembrane BAX inhibitor motif containing 1	protein coding gene	ENSMUSG00000006301
Glb1l	current symbol	MGI:1921827	Glb1l	galactosidase, beta 1-like	protein coding gene	ENSMUSG00000026200
Eif4e2	current symbol	MGI:1914440	Eif4e2	eukaryotic translation initiation factor 4E member 2	protein coding gene	ENSMUSG00000026254
Cops8	current symbol	MGI:1915363	Cops8	COP9 signalosome subunit 8	protein coding gene	ENSMUSG00000034432
Ube2f	human symbol	MGI:3646221	Gm5434	predicted gene 5434	pseudogene	ENSMUSG00000059301
Ube2f	current symbol	MGI:1915171	Ube2f	ubiquitin-conjugating enzyme E2F (putative)	protein coding gene	ENSMUSG00000034343
Farp2	current symbol	MGI:2385126	Farp2	FERM, RhoGEF and pleckstrin domain protein 2	protein coding gene	ENSMUSG00000034066
Kdsr	current symbol	MGI:1918000	Kdsr	3-ketodihydrosphingosine reductase	protein coding gene	ENSMUSG00000009905
Ccdc93	current symbol	MGI:1918079	Ccdc93	coiled-coil domain containing 93	protein coding gene	ENSMUSG00000026339
Slc35f5	current symbol	MGI:1921400	Slc35f5	solute carrier family 35, member F5	protein coding gene	ENSMUSG00000026342
