Input	Input Type	MGI Gene/Marker ID	Ensembl ID
Ankrd44	current symbol	MGI:3045243	ENSMUSG00000052331
Tmem169	current symbol	MGI:2442781	ENSMUSG00000026188
Igfbp2	current symbol	MGI:96437	ENSMUSG00000039323
Gpr39	current symbol	MGI:1918361	ENSMUSG00000026343
Lmod1	current symbol	MGI:2135671	ENSMUSG00000048096
Rabgap1l	current symbol	MGI:1352507	ENSMUSG00000026721
Cenpl	current symbol	MGI:1917704	ENSMUSG00000026708
Prrc2c	current symbol	MGI:1913754	ENSMUSG00000040225
Mpzl1	current symbol	MGI:1915731	ENSMUSG00000026566
Rcsd1	current symbol	MGI:2676394	ENSMUSG00000040723
Sccpdh	current symbol	MGI:1924486	ENSMUSG00000038936
Lefty1	current symbol	MGI:107405	ENSMUSG00000038793
Ccdc121	current symbol	MGI:1914906	ENSMUSG00000029138
Ccdc121	old symbol	MGI:2685601	ENSMUSG00000050625
Ccdc121	human symbol	MGI:3648937	ENSMUSG00000072722
Ccdc121	human symbol	MGI:3648511	ENSMUSG00000051503
Cd34	current symbol	MGI:88329	ENSMUSG00000016494
Cd34	human synonym	MGI:95498	ENSMUSG00000015947
Ccdc28a	current symbol	MGI:2443508	ENSMUSG00000059554
Ccdc28a	zebrafish symbol	MGI:3641723	ENSMUSG00000071392
Nr2e1	current symbol	MGI:1100526	ENSMUSG00000019803
Vsir	current symbol	MGI:1921298	ENSMUSG00000020101
Nfyb	current symbol	MGI:97317	ENSMUSG00000020248
Rfx4	current symbol	MGI:1918387	ENSMUSG00000020037
Grip1	current symbol	MGI:1921303	ENSMUSG00000034813
Grip1	synonym	MGI:1929094	ENSMUSG00000024972
Grip1	old symbol	MGI:1276533	ENSMUSG00000005886
Kif5a	current symbol	MGI:109564	ENSMUSG00000074657
Mmp19	current symbol	MGI:1927899	ENSMUSG00000025355
Osbp2	current symbol	MGI:1921559	ENSMUSG00000020435
Uqcr10	current symbol	MGI:1913402	ENSMUSG00000059534
Zfp454	current symbol	MGI:2679253	ENSMUSG00000048728
Zfp2	current symbol	MGI:99167	ENSMUSG00000049321
Gpx3	current symbol	MGI:105102	ENSMUSG00000018339
Gpx3	zebrafish symbol	MGI:104886	ENSMUSG00000004344
Gpx3	zebrafish symbol	MGI:1922762	ENSMUSG00000004341
Tom1l2	current symbol	MGI:2443306	ENSMUSG00000000538
