REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	stitchedPeakRank	isSuper
3_158_lociStitched	chr1	55186865	55206042	3	832	NM_028713	NM_175439	NM_028713	1	1
4_760_lociStitched	chr10	52273881	52296269	4	1562	NM_025705		NM_025705	2	1
1_3411_lociStitched	chr18	40307999	40308383	1	385	NM_026135		NM_026135	3	1
4_4485_lociStitched	chr3	84181769	84206855	4	1151	NM_001271726,NM_030706,NM_001271727,NM_001271725,NM_001271728	NR_036654,NM_029797	NM_001271728	4	1
5_2093_lociStitched	chr13	109628543	109652292	5	1866	NM_011056		NR_035442	5	1
3_2055_lociStitched	chr13	99090426	99112330	3	898		NR_045495	NR_045495	6	1
3_3628_lociStitched	chr19	32255389	32271601	3	1095	NM_144792,NM_001168525	NM_001168526	NM_001168526	7	1
3_6390_lociStitched	chr8	4342084	4366546	3	937	NR_033527,NM_009138	NM_010485	NM_009138	8	1
3_4689_lociStitched	chr4	8934562	8956661	3	961			NM_001081417	9	1
4_4371_lociStitched	chr3	31001371	31018012	4	1550	NM_008857	NM_001165955	NM_008857	10	1
3_2818_lociStitched	chr16	22139804	22160691	3	1097	NM_183029		NM_183029	11	1
4_3375_lociStitched	chr18	34017684	34032594	4	1409		NM_013512	NM_013512	12	1
4_640_lociStitched	chr10	21042746	21064549	4	1491	NM_026203,NM_001177776		NM_001177776	13	1
4_644_lociStitched	chr10	21082483	21102446	4	1654		NM_001177776	NM_001177776	14	1
2_2494_lociStitched	chr15	10711327	10723910	2	579	NR_045064,NR_045063,NR_045065,NM_001166408,NM_030690		NR_045065	15	1
2_2414_lociStitched	chr14	99266695	99278814	2	570		NM_009769	NM_009769	16	1
4_554_lociStitched	chr1	188994992	189013829	4	1500	NM_172650		NM_172650	17	1
3_1627_lociStitched	chr12	83556078	83570290	3	1144	NM_183154	NM_030246,NM_001165256	NM_183154	18	1
3_4496_lociStitched	chr3	86832778	86853289	3	1263	NM_001195498,NM_001195500		NM_001195498	19	1
2_6061_lociStitched	chr7	35322850	35335478	2	520	NM_027897	NM_026181	NM_027897	20	1
2_184_lociStitched	chr1	60839122	60851267	2	764			NM_009843	21	1
6_3554_lociStitched	chr19	14663368	14680240	6	2725			NM_011600	22	1
3_5540_lociStitched	chr5	148538824	148550872	3	767	NM_011908		NM_011908	23	1
3_4131_lociStitched	chr2	146823373	146838982	3	1106		NM_001033298	NM_001033298	24	1
3_6503_lociStitched	chr8	44962621	44979663	3	1239	NM_001081286		NM_001081286	25	1
3_6415_lociStitched	chr8	12535255	12548300	3	796		NM_024279	NM_024279	26	1
3_5569_lociStitched	chr6	7694281	7713148	3	1034		NM_012055	NM_012055	27	1
2_5369_lociStitched	chr5	103724578	103736053	2	605		NM_133919,NM_001080798	NM_133919	28	1
2_2593_lociStitched	chr15	52002519	52013387	2	394		NM_175503,NM_009009	NM_009009	29	1
2_1070_lociStitched	chr11	22936408	22949339	2	743	NM_144514	NM_011663,NM_009837	NM_011663	30	1
2_5373_lociStitched	chr5	104434014	104443176	2	451	NM_009263,NM_001204233	NM_008861	NM_001204233	31	1
4_4613_lociStitched	chr3	133518762	133534367	4	1354	NM_001040400		NM_001040400	32	1
4_603_lociStitched	chr10	12541780	12554566	4	1386	NM_011682		NM_011682	33	1
2_1450_lociStitched	chr12	12879403	12890380	2	624			NM_008709	34	1
3_4537_lociStitched	chr3	102049391	102067577	3	1180		NM_178777,NM_009814	NM_009814	35	1
2_3136_lociStitched	chr17	53551474	53562079	2	764		NM_020005,NM_001190846,NM_173449	NM_020005	36	1
3_1203_lociStitched	chr11	67011728	67024376	3	878		NM_177392,NM_001040026,NM_025510	NM_177392	37	1
4_3241_lociStitched	chr17	85142768	85163318	4	1210	NM_028576		NM_028576	38	1
2_455_lociStitched	chr1	160209791	160218403	2	832	NM_009786	NM_025474	NM_009786	39	1
2_1925_lociStitched	chr13	58471523	58483163	2	579			NM_028904	40	1
2_521_lociStitched	chr1	182018291	182030501	2	497	NM_001083121		NM_001083121	41	1
3_7006_lociStitched	chr9	78359638	78369028	3	1186	NM_025274	NM_205822,NM_001191044,NM_001111286,NM_001164523,NM_008182,NM_026480	NM_025274	42	1
3_5849_lociStitched	chr6	97951653	97963581	3	981	NM_001113198,NM_001178049	NM_008601	NM_001178049	43	1
6_3619_lociStitched	chr19	31100777	31120236	6	1955	NM_011160,NM_001013833	NM_031249	NM_031249	44	1
2_3695_lociStitched	chr19	55543174	55556058	2	657	NM_016862		NR_045318	45	1
2_6615_lociStitched	chr8	88991965	89003835	2	596		NM_021390	NM_021390	46	1
2_3584_lociStitched	chr19	23467896	23480653	2	799		NM_174857	NM_174857	47	1
2_4203_lociStitched	chr2	165800297	165810287	2	838	NM_027230,NM_001252585,NR_045545		NM_001252585	48	1
2_337_lociStitched	chr1	119486795	119497923	2	597	NM_022327	NM_146103	NM_022327	49	1
2_6915_lociStitched	chr9	55216133	55225562	2	581	NM_028049,NM_032002		NM_028049	50	1
3_791_lociStitched	chr10	61999808	62012716	3	873		NM_007731	NM_007731	51	1
3_2160_lociStitched	chr14	11663638	11680073	3	921	NM_008981		NM_008981	52	1
4_1750_lociStitched	chr13	14416220	14440678	4	1753	NM_001081348		NM_001081348	53	1
5_6103_lociStitched	chr7	49331030	49349049	5	1816	NM_175272,NM_001111016		NM_175272	54	1
4_2455_lociStitched	chr14	122255499	122268071	4	1413	NM_029556	NR_015532	NR_015532	55	1
2_5767_lociStitched	chr6	72787362	72795335	2	900	NM_009332		NM_009332	56	1
2_3452_lociStitched	chr18	56744881	56754059	2	754	NM_010721		NM_010721	57	1
3_4867_lociStitched	chr4	82360167	82368606	3	976	NM_001113210		NM_001113210	58	1
2_6198_lociStitched	chr7	89329659	89342339	2	564	NM_028343		NM_028343	59	1
2_4597_lociStitched	chr3	127453390	127464525	2	999			NR_030403	60	1
2_5468_lociStitched	chr5	130186864	130198769	2	523	NM_001199059,NM_019983	NM_172509,NM_001081394,NM_027854	NM_019983	61	1
2_4386_lociStitched	chr3	34646220	34654207	2	618	NR_015580,NM_011443	NR_035433	NM_011443	62	1
2_6765_lociStitched	chr9	7711232	7721944	2	606		NM_010810,NM_133739	NM_010810	63	1
3_2151_lociStitched	chr14	9318902	9327678	3	706			NR_030680	64	1
2_1420_lociStitched	chr11	119395471	119404253	2	469		NM_178743,NR_035453,NM_018822	NR_035453	65	1
2_3587_lociStitched	chr19	24064563	24073455	2	504		NM_001114174	NM_001114174	66	1
2_2955_lociStitched	chr16	90299654	90310162	2	859		NM_178923	NM_178923	67	1
2_5634_lociStitched	chr6	31884810	31897372	2	495			NM_029587	68	1
2_4079_lociStitched	chr2	131232488	131244109	2	544	NM_144888,NR_037281	NM_001111075,NM_027129,NM_153501,NR_029755	NM_144888	69	1
3_2662_lociStitched	chr15	75877775	75889848	3	1005		NM_026960,NM_178646,NM_172121,NM_172607,NM_029663,NM_025412,NM_031201	NM_172607	70	1
2_3775_lociStitched	chr2	22891769	22900591	2	507	NM_019501		NM_019501	71	1
2_1870_lociStitched	chr13	45319733	45332087	2	626			NM_153789	72	1
2_1615_lociStitched	chr12	80010176	80023648	2	1173			NM_007564	73	1
3_2759_lociStitched	chr16	8767371	8779009	3	1088		NM_001003918	NM_001003918	74	1
2_2039_lociStitched	chr13	97282744	97292762	2	858		NM_007930	NM_007930	75	1
3_2459_lociStitched	chr14	122330145	122342505	3	1107	NM_029556		NR_015532	76	1
2_4922_lociStitched	chr4	105159359	105169496	2	425	NM_080555	NM_178143	NM_080555	77	1
2_1949_lociStitched	chr13	63968707	63980574	2	1391			NM_008291	78	1
3_4041_lociStitched	chr2	119855633	119863057	3	1215		NM_013720	NM_013720	79	1
2_3655_lociStitched	chr19	40261408	40273106	2	724	NM_016861		NM_016861	80	1
2_2808_lociStitched	chr16	20473857	20480452	2	581		NM_172265,NM_007889,NM_013790	NM_172265	81	1
2_3757_lociStitched	chr2	19381052	19393130	2	552	NM_029619		NM_029619	82	1
2_6088_lociStitched	chr7	44276518	44287926	2	550		NM_025880,NR_028534,NR_028533,NM_001034115,NR_029436,NM_001195034,NM_009131	NM_009131	83	1
2_6263_lociStitched	chr7	109873302	109881905	2	796		NM_020052	NM_020052	84	1
2_6253_lociStitched	chr7	107339599	107349626	2	898	NR_035497	NM_021889	NM_021889	85	1
