GENE_NAME	REFSEQ_ID	PROXIMAL_STITCHED_PEAKS
1110065P20Rik	NM_001142727	chr4:124825058-124833160
1700003M07Rik	NR_040647	chr4:129966339-129970434
1700010I02Rik	NR_040587	chr3:8001130-8006111
1700028J19Rik	NR_029436	chr7:44276518-44287926
1700028M03Rik	NR_036591	chr3:83582649-83591481
1700071K01Rik	NM_001033765	chr11:81612949-81616874
1700102H20Rik	NR_045303	chr17:3505641-3516670
1700108J01Rik	NR_015532	chr14:122255499-122268071
1700109F18Rik	NR_027899	chr2:74672494-74679193
1700109H08Rik	NM_029843	chr5:3577075-3578932
1700112E06Rik	NM_028275	chr14:22046117-22059126
1700120C14Rik	NR_045627	chr15:99195132-99206318
1810006J02Rik	NR_040439	chr1:98086506-98092662
1810026B05Rik	NR_037569	chr7:73535034-73539408
1810037I17Rik	NM_024461	chr3:122936684-122938756
2010003O02Rik	NR_045265	chr4:40233108-40238749
2310020H05Rik	NR_045495	chr13:99090426-99112330
2310042E22Rik	NM_025634	chr16:21159205-21163928
2410002F23Rik	NM_025880	chr7:44276518-44287926
2900041M22Rik	NR_015489	chr11:117629860-117638500
2900052N01Rik	NR_015605	chr9:46889971-46892190
3110043O21Rik	NM_001081343	chr4:35192883-35205593
4930448I06Rik	NR_040475	chr1:41131524-41140881
4930469G21Rik	NM_001195189	chr1:161157432-161158983
4930507D05Rik	NR_027926	chr10:62474911-62477348
4930511E03Rik	NR_040761	chr6:94952090-94963847
4930513N10Rik	NR_015574	chr8:95830217-95833760
4930525G20Rik	NR_045194	chr13:67849265-67858006
4930543E12Rik	NR_045978	chr7:113142318-113146160
4930556M19Rik	NR_045064	chr15:10711327-10723910
4932412D23Rik	NR_040521	chr16:42770288-42782291
4933405D12Rik	NR_046036	chr3:122936684-122938756
4933408B17Rik	NM_177773	chr18:34551721-34555554
5031425E22Rik	NR_040469	chr5:23401245-23408210
5730420D15Rik	NR_045339	chr10:95456124-95461624
6530411M01Rik	NR_027881	chr17:9199238-9202990
9030204H09Rik	NR_040618	chr2:35841064-35846141
9130008F23Rik	NM_027834	chr17:40893224-40904439
9130209A04Rik	NR_033453	chr18:47492954-47496329
9430083A17Rik	NR_029463	chr13:51122543-51125784
A330033J07Rik	NR_102303	chr13:48245495-48252930,chr13:48159073-48160542
A330048O09Rik	NR_045162	chr13:48245495-48252930
A430078G23Rik	NM_001033378	chr8:3395218-3395610
A630072M18Rik	NR_030699	chr5:20964451-20974325
A930006I01Rik	NR_040332	chr2:103348105-103361044
A930019D19Rik	NR_040619	chr2:146216237-146221736,chr2:146299975-146302726
AU041133	NM_001163064	chr10:82147635-82159923
Aanat	NR_033223	chr11:116586417-116586719
Aard	NM_175503	chr15:52002519-52013387
Abca4	NM_007378	chr3:122145296-122145790
Abcb5	NM_029961	chr12:118910407-118918110
Abcc5	NM_013790	chr16:20473857-20480452
Abcd4	NM_008992	chr12:84618958-84625343
Abcg5	NM_031884	chr17:84713833-84720925
Abcg8	NM_026180	chr17:84713833-84720925
Abi1	NM_145994	chr2:23002716-23006172
Acpt	NM_001195034	chr7:44276518-44287926
Actl11	NM_026338	chr9:107958676-107961853
Adamtsl4	NM_144899	chr3:95663519-95664134
Adap2	NM_172133	chr11:80131928-80138101
Adnp2	NM_175028	chr18:80184693-80186288,chr18:80107077-80107426
Adprm	NM_025510	chr11:67011728-67024376
Adrb3	NM_013462	chr8:27236294-27240724
Aff1	NM_133919	chr5:103724578-103736053
Ahcyl2	NM_001171000	chr6:29839527-29851053
Ahi1	NM_026203	chr10:21042746-21064549
Ahsa1	NM_146036	chr12:87313216-87318234
Akap6	NM_198111	chr12:53061778-53063483
Akirin2	NM_001007589	chr4:34554814-34558814
Aldh1a2	NM_009022	chr9:71217218-71232195
Alg13	NR_037145	chrX:144332968-144338238
Amdhd2	NM_172935	chr17:24134020-24139791
Ampd1	NM_001033303	chr3:103103946-103108206
Ankrd45	NM_028664	chr1:161157432-161158983
Ankrd6	NM_001012451	chr4:32948745-32956836
Ap3s1	NM_009681	chr18:46713567-46713888
Ap4b1	NM_026193	chr3:103840160-103850871
Ap5s1	NM_027129	chr2:131232488-131244109
Apitd1	NM_027263	chr4:149157495-149161173
Apln	NM_013912	chrX:48062890-48072360
Apobec1	NM_001134391	chr6:122624477-122626516
Apoc1	NM_007469	chr7:19741644-19742789
Apoe	NM_009696	chr7:19741644-19742789
Arhgap26	NM_175164	chr18:38960908-38973114
Arhgef18	NM_133962	chr8:3395218-3395610
Arhgef2	NM_001198911	chr3:88571941-88575859
Arhgef3	NM_027871	chr14:27268496-27273457
Arid5b	NM_023598	chr10:68112323-68115425
Arl15	NM_172595	chr13:114026332-114034640
Arvcf	NM_001272029	chr16:18316450-18321802
Asic2	NM_001034013	chr11:81612949-81616874
Asns	NM_012055	chr6:7694281-7713148
Aspm	NM_009791	chr1:139494578-139500298
Atad5	NM_001029856	chr11:80131928-80138101
Atg12	NM_026217	chr18:46713567-46713888
Atg16l1	NM_001205392	chr1:87722272-87729494
Athl1	NM_145387	chr7:140959493-140963147
Atp10a	NM_009728	chr7:58664625-58669051
Atp11b	NM_029570	chr3:35721726-35724116
Atp6v0c	NM_009729	chr17:24134020-24139791
Atp6v0c-ps2	NR_037854	chr17:24134020-24139791
Auts2	NM_177047	chr5:131438621-131449605,chr5:131526789-131532197
B230216N24Rik	NR_037993	chr1:98086506-98092662
B230319C09Rik	NR_028382	chr6:83421778-83422175
B3gnt6	NM_001081167	chr7:98186733-98189968
B3gnt7	NM_145222	chr1:86309305-86311294
B4galnt2	NM_008081	chr11:95963457-95963849
BC048507	NM_001001185	chr13:67849265-67858006
Bach2	NM_001109661	chr4:32479374-32489518
Bai2	NM_001199696	chr4:129966339-129970434
Baz2b	NM_001001182	chr2:60142879-60145175
Bcam	NM_020486	chr7:19741644-19742789
Bcl2l15	NM_001142960	chr3:103840160-103850871
Bst1	NM_009763	chr5:43802778-43814805
Btbd11	NM_028709	chr10:85539560-85543668
Btbd3	NM_145534	chr2:138326495-138338285
Btg1	NM_007569	chr10:96655963-96659239
C130036L24Rik	NR_015507	chr1:86309305-86311294
C130079G13Rik	NM_177661	chr3:59877671-59880373
C330021F23Rik	NM_001024728	chr8:3546603-3552597
Cacna2d3	NM_009785	chr14:28955306-28961776,chr14:29269912-29270147
Cacybp	NM_009786	chr1:160209791-160218403
Camkmt	NM_028576	chr17:85142768-85163318
Camkv	NM_145621	chr9:107958676-107961853
Camsap3	NM_001163749	chr8:3546603-3552597
Capn5	NM_007602	chr7:98186733-98189968
Carhsp1	NM_025821	chr16:8706515-8709140
Casq2	NM_009814	chr3:102049391-102067577
Cbr2	NM_007621	chr11:120777113-120780307
Ccdc113	NM_172914	chr8:95528356-95532449
Ccdc129	NM_001081665	chr6:55791773-55792375
