ATAC summit (left anchor),ATAC summit (right anchor)
chr1:6214660-6214661,chr1:4857627-4857628
chr1:6280273-6280274,chr1:6214660-6214661
chr1:6288784-6288785,chr1:6214660-6214661
chr1:6307394-6307395,chr1:6280273-6280274
chr1:6288784-6288785,chr1:6214660-6214661
chr1:6307394-6307395,chr1:6280273-6280274
chr1:6307394-6307395,chr1:6288784-6288785
chr1:10721278-10721279,chr1:10233535-10233536
chr1:16104675-16104676,chr1:15805352-15805353
chr1:16657038-16657039,chr1:16104675-16104676
chr1:16688464-16688465,chr1:16619416-16619417
chr1:16657038-16657039,chr1:16657038-16657039
chr1:16665118-16665119,chr1:16104675-16104676
chr1:16688464-16688465,chr1:16657038-16657039
chr1:17602506-17602507,chr1:17489675-17489676
chr1:21041358-21041359,chr1:21014942-21014943
chr1:21075888-21075889,chr1:21041358-21041359
chr1:30949930-30949931,chr1:30874060-30874061
chr1:31095981-31095982,chr1:30949930-30949931
chr1:34439324-34439325,chr1:34434222-34434223
chr1:34850832-34850833,chr1:34439324-34439325
chr1:34850832-34850833,chr1:34842844-34842845
chr1:36007762-36007763,chr1:34850832-34850833
chr1:36457332-36457333,chr1:36445361-36445362
chr1:36556757-36556758,chr1:36547667-36547668
chr1:37871998-37871999,chr1:37430645-37430646
chr1:37871998-37871999,chr1:37864445-37864446
chr1:37998136-37998137,chr1:37871998-37871999
chr1:39367990-39367991,chr1:38988144-38988145
chr1:39869332-39869333,chr1:39760854-39760855
chr1:39889619-39889620,chr1:39760854-39760855
chr1:40234579-40234580,chr1:40173234-40173235
chr1:40359088-40359089,chr1:40234579-40234580
chr1:40444973-40444974,chr1:40436163-40436164
chr1:43099404-43099405,chr1:43092759-43092760
chr1:43164152-43164153,chr1:43147880-43147881
chr1:43224549-43224550,chr1:43164152-43164153
chr1:43224549-43224550,chr1:43168778-43168779
chr1:44567729-44567730,chr1:44552193-44552194
chr1:45542028-45542029,chr1:45502991-45502992
chr1:45580816-45580817,chr1:45502991-45502992
chr1:45597502-45597503,chr1:45502991-45502992
chr1:45626332-45626333,chr1:45502991-45502992
chr1:45761243-45761244,chr1:45502991-45502992
chr1:45765783-45765784,chr1:45756597-45756598
chr1:46865200-46865201,chr1:46853477-46853478
chr1:47399025-47399026,chr1:46853477-46853478
chr1:51478678-51478679,chr1:51119858-51119859
chr1:51595401-51595402,chr1:51478678-51478679
chr1:52119836-52119837,chr1:52113660-52113661
chr1:52254666-52254667,chr1:52233456-52233457
chr1:55051702-55051703,chr1:55027487-55027488
chr1:55088024-55088025,chr1:55051702-55051703
chr1:58445610-58445611,chr1:58423730-58423731
chr1:58726410-58726411,chr1:58663753-58663754
chr1:58742542-58742543,chr1:58726410-58726411
chr1:58761323-58761324,chr1:58726410-58726411
chr1:59119753-59119754,chr1:58761323-58761324
chr1:59162577-59162578,chr1:59119753-59119754
chr1:59684874-59684875,chr1:59457497-59457498
chr1:59684874-59684875,chr1:59481802-59481803
chr1:59481802-59481803,chr1:59481802-59481803
chr1:59580172-59580173,chr1:59119753-59119754
chr1:59610188-59610189,chr1:59237147-59237148
chr1:60180527-60180528,chr1:59763627-59763628
chr1:60825239-60825240,chr1:60343448-60343449
chr1:60825239-60825240,chr1:60566531-60566532
chr1:62704985-62704986,chr1:62446545-62446546
chr1:62551258-62551259,chr1:62091837-62091838
chr1:62704985-62704986,chr1:62446545-62446546
chr1:62704985-62704986,chr1:62551258-62551259
chr1:62721004-62721005,chr1:62704985-62704986
chr1:64120384-64120385,chr1:63554583-63554584
chr1:64532671-64532672,chr1:63730464-63730465
chr1:64120384-64120385,chr1:63777052-63777053
chr1:64532671-64532672,chr1:64005352-64005353
chr1:64120384-64120385,chr1:64120384-64120385
chr1:64532671-64532672,chr1:64120384-64120385
chr1:64120384-64120385,chr1:64120384-64120385
chr1:64226259-64226260,chr1:63554583-63554584
chr1:64301247-64301248,chr1:63730464-63730465
chr1:64306006-64306007,chr1:63777052-63777053
chr1:64532671-64532672,chr1:64120384-64120385
chr1:64616440-64616441,chr1:64120384-64120385
chr1:64622914-64622915,chr1:64532671-64532672
chr1:65178367-65178368,chr1:64120384-64120385
chr1:64616440-64616441,chr1:64532671-64532672
chr1:64622914-64622915,chr1:64616440-64616441
chr1:64957188-64957189,chr1:64622914-64622915
chr1:65178367-65178368,chr1:64532671-64532672
chr1:64622914-64622915,chr1:64120384-64120385
chr1:64667375-64667376,chr1:64532671-64532672
chr1:65186577-65186578,chr1:65178367-65178368
chr1:71557313-71557314,chr1:71004577-71004578
chr1:71971300-71971301,chr1:71653389-71653390
chr1:72080146-72080147,chr1:71653389-71653390
chr1:71752607-71752608,chr1:71653389-71653390
chr1:71755615-71755616,chr1:71752607-71752608
chr1:71765557-71765558,chr1:71755615-71755616
chr1:71865642-71865643,chr1:71653389-71653390
chr1:71893828-71893829,chr1:71752607-71752608
chr1:71971300-71971301,chr1:71755615-71755616
chr1:72003063-72003064,chr1:71765557-71765558
chr1:72013836-72013837,chr1:71653389-71653390
chr1:72071043-72071044,chr1:71557313-71557314
chr1:72080146-72080147,chr1:71653389-71653390
chr1:72109077-72109078,chr1:71755615-71755616
chr1:71765557-71765558,chr1:71765557-71765558
chr1:71865642-71865643,chr1:71865642-71865643
chr1:72071043-72071044,chr1:71971300-71971301
chr1:71765557-71765558,chr1:71653389-71653390
chr1:71865642-71865643,chr1:71653389-71653390
chr1:71971300-71971301,chr1:71653389-71653390
chr1:72071043-72071044,chr1:71752607-71752608
chr1:72080146-72080147,chr1:71755615-71755616
chr1:71865642-71865643,chr1:71765557-71765558
chr1:71971300-71971301,chr1:71557313-71557314
chr1:72071043-72071044,chr1:71653389-71653390
chr1:71971300-71971301,chr1:71755615-71755616
chr1:71977641-71977642,chr1:71653389-71653390
chr1:72582964-72582965,chr1:72307642-72307643
chr1:74008819-74008820,chr1:73996950-73996951
chr1:74016139-74016140,chr1:73996950-73996951
chr1:74028400-74028401,chr1:74008819-74008820
chr1:74092558-74092559,chr1:73996950-73996951
chr1:74016139-74016140,chr1:74008819-74008820
chr1:74028400-74028401,chr1:74016139-74016140
chr1:74028400-74028401,chr1:74028400-74028401
chr1:74066060-74066061,chr1:74028400-74028401
chr1:74070550-74070551,chr1:73996950-73996951
chr1:74296398-74296399,chr1:74236295-74236296
chr1:74249711-74249712,chr1:74236295-74236296
chr1:74284945-74284946,chr1:74028400-74028401
chr1:74296398-74296399,chr1:74236295-74236296
chr1:74304362-74304363,chr1:74284945-74284946
chr1:74391850-74391851,chr1:74236295-74236296
