GENE_NAME	REFSEQ_ID	PROXIMAL_STITCHED_PEAKS
1700109H08Rik	NM_029843	chr5:3577136-3578836
2900052N01Rik	NR_015605	chr9:46890036-46892060
3110043O21Rik	NM_001081343	chr4:35192944-35205525
Abca4	NM_007378	chr3:122145369-122145747
Adap2	NM_172133	chr11:80132022-80136355
Aspm	NM_009791	chr1:139494685-139500198
Atad5	NM_001029856	chr11:80132022-80136355
Auts2	NM_177047	chr5:131526814-131532046
Cacybp	NM_009786	chr1:160209857-160218310
Camkmt	NM_028576	chr17:85149406-85159199
Ccdc30	NM_029286	chr4:119403543-119412168
Ccnc	NM_001122982	chr4:21723019-21723314
Chrnd	NM_021600	chr1:87226405-87230904
Chrng	NM_009604	chr1:87226405-87230904
Cnot10	NM_153585	chr9:114640286-114640622
Cryba1	NM_009965	chr11:77673607-77680397
Ctnna3	NM_177612	chr10:64736646-64744588
Dcaf4	NM_030246	chr12:83567164-83570212
Dclk2	NM_001195498	chr3:86832832-86845290
Ddx47	NM_026360	chr6:135040584-135042293
Dock5	NM_177780	chr14:67888153-67894242
Dync1li1	NM_146229	chr9:114640286-114640622
Efhd1	NM_028889	chr1:87226405-87230904
Eif4e2	NM_001039170	chr1:87226405-87230904
F13b	NM_031164	chr1:139494685-139500198
Fam133b	NM_001042501	chr5:3577136-3578836
Fat1	NM_001081286	chr8:44971384-44979638
Fkbp15	NM_001045528	chr4:62307009-62314904
Foxd3	NM_010425	chr4:99641834-99642348
Gprc5a	NM_181444	chr6:135040584-135042293
Hdac2	NM_008229	chr10:36924217-36936220
Hmgcr	NM_008255	chr13:96674032-96676027
Ifnk	NM_199157	chr4:35192944-35205525
Igf2bp2	NM_183029	chr16:22139888-22149985
Lifr	NM_001113386	chr15:7115746-7117073
Lmnb1	NM_010721	chr18:56744912-56753949
Mga	NM_013720	chr2:119855676-119857799
Mir1957	NR_035483	chr6:94750613-94750980
Mob3b	NM_178061	chr4:35192944-35205525
Mpp6	NM_019939	chr6:50116312-50124471
Mrpl47	NM_029017	chr3:32758586-32763303
Mrps14	NM_025474	chr1:160209857-160218310
Mta3	NM_001171054	chr17:83742852-83750591
Mtpap	NM_026157	chr18:4404183-4406061
Nav2	NM_175272	chr7:49347201-49348288
Ndufb5	NM_025316	chr3:32758586-32763303
Nufip2	NM_001024205	chr11:77673607-77680397
Otx2os1	NR_029384	chr14:48748525-48754663
Pex1	NM_027777	chr5:3577136-3578836
Plcg2	NM_172285	chr8:117493610-117503944
Plk1s1	NM_001033298	chr2:146823426-146834627
Ppcs	NM_026494	chr4:119403543-119412168
Prdm13	NM_001080771	chr4:21723019-21723314
Prss56	NM_027084	chr1:87226405-87230904
Ptch1	NM_008957	chr13:63528867-63530741
Rbfox2	NM_175387	chr15:77102685-77109773
Rbm48	NM_172991	chr5:3577136-3578836
Rnf135	NM_028019	chr11:80132022-80136355
Rps12	NM_011295	chr10:23806224-23813399
Rrm2b	NM_199476	chr15:37973212-37977424
Sgms1	NM_144792	chr19:32255480-32261353
Skap1	NM_001177899	chr11:96727624-96733043
Slc18b1	NM_183116	chr10:23806224-23813399
Slc31a1	NM_175090	chr4:62307009-62314904
Slc31a2	NM_025286	chr4:62307009-62314904
Snora33	NR_037680	chr10:23806224-23813399
Snord100	NR_037681	chr10:23806224-23813399
Snx11	NM_028965	chr11:96727624-96733043
Spns3	NM_029932	chr11:72576583-72576866
Srgap3	NM_080448	chr6:112949468-112950600
Tead1	NM_009346	chr7:112688498-112691387
Tefm	NM_183275	chr11:80132022-80136355
Tstd3	NM_029840	chr4:21723019-21723314
Ube2g1	NM_025985	chr11:72576583-72576866
Ubr5	NM_001081359	chr15:37973212-37977424
Utrn	NM_011682	chr10:12608727-12614849
Vnn3	NM_011979	chr10:23806224-23813399
Zfyve1	NM_183154	chr12:83567164-83570212
Zmynd12	NM_001014900	chr4:119403543-119412168
